화면,ID,이름,유형,원본 x,원본 y,원본 폭,원본 높이,Figma x,Figma y,Figma 폭,Figma 높이,목적지,동작,최대 글자수,필수,터치 참고
S01,start,시작,button,0,0,853,1844,0,0,390,843.09,S02,start,,False,시각 영역이 최소 터치 기준 이상
S02,next,다음,button,60,1541,735,128,27.43,704.56,336.05,58.52,S03,navigate,,False,시각 영역이 최소 터치 기준 이상
S02,skip,건너뛰기,button,306,1705,252,78,139.91,779.54,115.22,35.66,S08,navigate,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S03,notice,위 내용을 확인했어요,checkbox,102,1345,44,45,46.64,614.95,20.12,20.57,,toggle:notice,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S03,privacy,처리방침에 동의,checkbox,102,1448,44,45,46.64,662.04,20.12,20.57,,toggle:privacy,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S03,privacy-info,개인정보 처리방침 보기,link,174,1448,324,46,79.55,662.04,148.14,21.03,O_PRIVACY,overlay,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S03,continue,동의하고 시작,button,71,1534,711,112,32.46,701.36,325.08,51.21,S04,consent_gate,,False,시각 영역이 최소 터치 기준 이상
S03,later,나중에 할게요,button,289,1663,319,98,132.13,760.34,145.85,44.81,S08,navigate,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S04,font,글자 크기,slider,166,625,520,90,75.9,285.76,237.75,41.15,O_FONT,overlay,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S04,speed0,아주 느리게,tab,78,887,140,56,35.66,405.55,64.01,25.6,,speed:0,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S04,speed1,느리게,tab,218,887,140,56,99.67,405.55,64.01,25.6,,speed:1,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S04,speed2,보통,tab,358,887,140,56,163.68,405.55,64.01,25.6,,speed:2,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S04,speed3,빠르게,tab,498,887,140,56,227.69,405.55,64.01,25.6,,speed:3,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S04,speed4,아주 빠르게,tab,638,887,140,56,291.7,405.55,64.01,25.6,,speed:4,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S04,vibration,진동 알림,switch,688,1008,92,49,314.56,460.87,42.06,22.4,,toggle:vibration,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S04,emphasis,시각 강조,switch,688,1135,92,51,314.56,518.93,42.06,23.32,,toggle:emphasis,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S04,quick-off,빠른 확인 끄기,tab,533,1263,117,63,243.69,577.46,53.49,28.8,,quick:false,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S04,quick-on,빠른 확인 켜기,tab,650,1263,120,63,297.19,577.46,54.87,28.8,,quick:true,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S04,save,저장하고 계속,button,42,1608,769,112,19.2,735.19,351.59,51.21,S05,navigate,,False,시각 영역이 최소 터치 기준 이상
S04,default,기본값으로 시작,button,246,1725,371,76,112.47,788.69,169.62,34.75,S05,reset_settings,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S05,register,등록 시작,button,49,1549,754,110,22.4,708.22,344.74,50.29,S06,navigate,,False,시각 영역이 최소 터치 기준 이상
S05,later,나중에 할게요,button,50,1685,752,102,22.86,770.4,343.82,46.64,S08,navigate,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S05,category-이름,이름,card,48,766,367,360,21.95,350.22,167.8,164.6,S06,category:이름,,False,시각 영역이 최소 터치 기준 이상
S05,category-장소,장소,card,435,766,367,360,198.89,350.22,167.8,164.6,S06,category:장소,,False,시각 영역이 최소 터치 기준 이상
S05,category-시간,시간,card,48,1143,367,366,21.95,522.59,167.8,167.34,S06,category:시간,,False,시각 영역이 최소 터치 기준 이상
S05,category-자주 쓰는 말,자주 쓰는 말,card,435,1143,367,366,198.89,522.59,167.8,167.34,S06,category:자주 쓰는 말,,False,시각 영역이 최소 터치 기준 이상
S06,search,템플릿 검색,input,178,459,493,67,81.38,209.86,225.4,30.63,O_SEARCH_TEMPLATE,overlay,40,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S06,category0,이름,radio,53,559,746,185,24.23,255.58,341.08,84.58,,category:0,,False,시각 영역이 최소 터치 기준 이상
S06,category1,장소,radio,53,761,746,185,24.23,347.94,341.08,84.58,,category:1,,False,시각 영역이 최소 터치 기준 이상
S06,category2,시간,radio,53,963,746,185,24.23,440.29,341.08,84.58,,category:2,,False,시각 영역이 최소 터치 기준 이상
S06,category3,메시지,radio,53,1165,746,185,24.23,532.65,341.08,84.58,,category:3,,False,시각 영역이 최소 터치 기준 이상
S06,category4,자주 쓰는 말,radio,53,1367,746,185,24.23,625.01,341.08,84.58,,category:4,,False,시각 영역이 최소 터치 기준 이상
S06,next,다음,button,74,1596,703,108,33.83,729.71,321.42,49.38,S07,navigate,,False,시각 영역이 최소 터치 기준 이상
S06,direct,직접 만들기,button,262,1719,327,85,119.79,785.94,149.51,38.86,S07,navigate,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S07,back,이전 화면,icon,47,43,79,77,21.49,19.66,36.12,35.21,S06,navigate,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S07,type,직접 입력,tab,61,309,372,91,27.89,141.28,170.08,41.61,,inputmode:text,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S07,voice,음성으로 입력,tab,434,309,370,91,198.43,141.28,169.17,41.61,O_VOICE_REGISTER,overlay,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S07,category,카테고리,select,89,769,677,82,40.69,351.59,309.53,37.49,O_CATEGORY,overlay,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S07,title,표현 제목,input,89,948,677,83,40.69,433.43,309.53,37.95,O_EDIT_TITLE,overlay,40,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S07,content,표현 내용,textarea,89,1127,678,228,40.69,515.28,309.99,104.24,O_EDIT_EXPRESSION,overlay,80,True,시각 영역이 최소 터치 기준 이상
S07,clear,표현 내용 지우기,icon,700,1155,42,46,320.05,528.08,19.2,21.03,,clear:expression,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S07,listen,TTS 미리 듣기,button,89,1386,269,79,40.69,633.69,122.99,36.12,O_LISTEN,overlay,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S07,cancel,취소,button,55,1679,199,98,25.15,767.66,90.98,44.81,S13,navigate,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S07,delete,표현 삭제,button,277,1679,171,98,126.65,767.66,78.18,44.81,S27,navigate,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S07,save,저장,button,469,1678,332,99,214.43,767.2,151.79,45.26,S13,save_expression,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S08,menu,알림·설정 메뉴,icon,752,59,64,65,343.82,26.98,29.26,29.72,O_MENU,overlay,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S08,mic,눌러서 말하기,mic,275,646,304,310,125.73,295.36,138.99,141.74,S09,record,,False,시각 영역이 최소 터치 기준 이상
S08,reward,말친구 리워드,card,46,332,760,282,21.03,151.79,347.48,128.93,S19,navigate,,False,시각 영역이 최소 터치 기준 이상
S08,more,최근 등록 문장 전체,link,693,1014,91,48,316.85,463.61,41.61,21.95,S13,navigate,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S08,recent0,등록 문장 1,card,63,1077,725,57,28.8,492.42,331.48,26.06,S11,choose_registered,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S08,recent1,등록 문장 2,card,63,1142,725,57,28.8,522.13,331.48,26.06,S11,choose_registered,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S08,recent2,등록 문장 3,card,63,1207,725,57,28.8,551.85,331.48,26.06,S11,choose_registered,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
S08,quick0,이름,card,45,1394,176,199,20.57,637.35,80.47,90.98,S13,filter:0,,False,시각 영역이 최소 터치 기준 이상
S08,quick1,장소,card,236,1394,176,199,107.9,637.35,80.47,90.98,S13,filter:1,,False,시각 영역이 최소 터치 기준 이상
S08,quick2,시간,card,427,1394,176,199,195.23,637.35,80.47,90.98,S13,filter:2,,False,시각 영역이 최소 터치 기준 이상
S08,quick3,자주 쓰는 말,card,618,1394,176,199,282.56,637.35,80.47,90.98,S13,filter:3,,False,시각 영역이 최소 터치 기준 이상
S08,streak,말친구 사용 기록,card,48,1640,754,130,21.95,749.82,344.74,59.44,S19,navigate,,False,시각 영역이 최소 터치 기준 이상
S09,stop,녹음 중지,button,103,1450,646,150,47.09,662.95,295.36,68.58,S10,finish_record,,False,시각 영역이 최소 터치 기준 이상
S09,cancel,녹음 취소,button,325,1635,202,103,148.59,747.54,92.36,47.09,S08,cancel_record,,False,시각 위치 보존. 개발 시 겹치지 않는 48dp 터치 영역 확보
